t,y_exacta,y_euler,y_rk4,error_y_euler,error_y_rk4,v_exacta,v_euler,v_rk4,error_v_euler,error_v_rk4,error_norma_euler,error_norma_rk4
2.6,0.211259908459692,0.29863263019952546,0.21125805118700663,0.08737272173983346,1.857272685368283e-06,1.069989431897048,1.3610856544537897,1.0699934543094325,0.2910962225567417,4.022412384507845e-06,0.30392598324432624,4.430492435255612e-06
2.6500000000000004,0.26309127921955444,0.36668691292221495,0.26308959823827577,0.1035956337026605,1.6809812786733325e-06,1.001764899068362,1.2741374153248088,1.0017692716559143,0.27237251625644676,4.372587552259333e-06,0.29140837828402283,4.684572548421413e-06
2.7,0.3112937117996599,0.4303937836884554,0.3112922277755591,0.11910007188879546,1.484024100828485e-06,0.9249814277891346,1.1753172844338697,0.9249861112712905,0.2503358566447351,4.683482155876106e-06,0.2772234987261535,4.912975945010284e-06
2.75,0.35546222549451456,0.4891596479101489,0.3554609572375363,0.13369742241563431,1.2682569782707098e-06,0.8405680704047609,1.0657321820075012,0.8405730214453977,0.2251641116027403,4.951040636802517e-06,0.26186614503298405,5.11089807667911e-06
2.8000000000000003,0.395239763955982,0.542446257010524,0.3952387281815512,0.14720649305454198,1.0357744307798455e-06,0.749510960795952,0.9465856087853214,0.7495161324566753,0.19707464798936936,5.171660723224392e-06,0.24598408175642333,5.274362834276682e-06
2.85,0.4303197783772137,0.58977553744979,0.43031898949067926,0.15945575907257636,7.888865344307661e-07,0.652842428842422,0.8191646452075101,0.6528477710815557,0.16632221636508804,5.342239133621085e-06,0.23041097794594484,5.400172305121267e-06
2.9000000000000004,0.4604482598845234,0.6307337697101656,0.4604477297913637,0.17028550982564217,5.300931597007619e-07,0.5516298734446146,0.6848262448134019,0.5516353336560397,0.13319637136878737,5.460211425112327e-06,0.2161907218230949,5.485882569367368e-06
2.95,0.4854252119383497,0.6649750819508357,0.48542494988245644,0.17954987001248596,2.620558932631134e-07,0.446964508957034,0.5449829659751008,0.4469700325425536,0.09801845701806677,5.52358551958454e-06,0.20456239570777227,5.529798394458692e-06
3.0,0.5051055592662708,0.6922242302495907,0.505105571698286,0.1871186709833199,1.2432015195074086e-08,0.3399500988647554,0.4010882902654316,0.339955629833277,0.06113819140067617,5.530968521572088e-06,0.19685343654178264,5.530982493339058e-06
3.0500000000000003,0.5193994954939387,0.7122786447628623,0.5193997859712628,0.19287914926892358,2.904773240830494e-07,0.23169178840687532,0.2546216784102048,0.2316972699933897,0.022929890003329456,5.481586514366477e-06,0.19423734470556503,5.489277528991486e-06
3.1,0.5282722771495509,0.7250097286833725,0.5282728462692599,0.1967374515338216,5.691197089152666e-07,0.12328514465995008,0.1070735158894282,0.12329051995706487,0.016211628770521874,5.3752971147930095e-06,0.19740425968913644,5.405341461496937e-06
3.1500000000000004,0.5317434770421915,0.730363404477844,0.5317443224077104,0.1986199274356525,8.453655189200049e-07,0.015805508393477073,-0.040069900165034894,0.015810720988138405,0.05587540855851197,5.21259466133156e-06,0.20632968001750132,5.280699382081996e-06
3.2,0.5298857151050453,0.7283599094695923,0.5298868313270311,0.19847419436454694,1.1162219857308031e-06,-0.08970224314018538,-0.185341183057303,-0.08969724853222384,0.09563893991711761,4.994607961536501e-06,0.22031525743154057,5.11781791497828e-06
