t,x_exacta,x_euler,x_rk4,error_x_euler,error_x_rk4,y_exacta,y_euler,y_rk4,error_y_euler,error_y_rk4,error_norma_euler,error_norma_rk4
0.56,-3.328584951589555,-2.8380762712530974,-3.3285952461925756,0.49050868033645756,1.0294603020710724e-05,-4.208290995082815,-4.75171640894426,-4.208285008562709,0.5434254138614447,5.986520106304738e-06,0.7320587038727807,1.190870582125603e-05
0.58,-3.880209241279604,-3.3884981602438238,-3.8802200005179572,0.4917110810357803,1.0759238353141853e-05,-4.171774001519417,-4.809773291780668,-4.171766534083595,0.6379992902612512,7.46743582169529e-06,0.8054954261740014,1.309670980402546e-05
0.6,-4.460972021498273,-3.9765899132009066,-4.460983146691879,0.4843821082973667,1.112519360546571e-05,-4.086314117525625,-4.827279836468002,-4.086304996670668,0.7409657189423777,9.120854956634616e-06,0.8852435955636146,1.438610190076038e-05
0.62,-5.068423044978396,-4.601367694910401,-5.068434413083969,0.46705535006799526,1.136810557245127e-05,-3.9465785112860763,-4.79878943360001,-3.9465675600960384,0.852210922313934,1.0951190037911118e-05,0.971804587423986,1.578487844593177e-05
0.64,-5.699516346219029,-5.2613529112930255,-5.699527807571012,0.43816343492600307,1.146135198304421e-05,-3.7471306167485405,-4.718607384023179,-3.7471176558822608,0.9714767672746385,1.296086627977644e-05,1.0657177417405304,1.730163703241625e-05
0.66,-6.3505666249171915,-5.954522676692461,-6.350578000993407,0.39604394822473044,1.1376076215263708e-05,-3.482474621815779,-4.580815594161128,-3.4824594718515023,1.0983409723453486,1.5149964276872652e-05,1.1675631462400475,1.894562027609564e-05
0.68,-7.017206855531503,-6.678259284826899,-7.017217936778894,0.3389475707046046,1.108124739079841e-05,-3.1471062575911564,-4.379302715675398,-3.1470887417512037,1.2321964580842417,1.7515839952686463e-05,1.2779646188380582,2.0726762723208943e-05
0.7000000000000001,-7.694347729318009,-7.429299059170544,-7.694358273078219,0.2650486701474648,1.0543760209813513e-05,-2.7355701528696432,-4.10780013582977,-2.7355501001460354,1.3722299829601265,2.0052723607832945e-05,1.397592903417046,2.265574107051428e-05
0.72,-8.376139593031377,-8.203681013587158,-8.376149321610637,0.1724585794442195,9.728579259515868e-06,-2.2425239820534335,-3.7599242192459124,-2.2425012307530965,1.5174002371924789,2.2751300337020552e-05,1.5271690939302396,2.4744027995336445e-05
0.74,-9.055937606663004,-8.99669581194206,-9.055946205595543,0.05924179472094515,8.598932538461668e-06,-1.6628095916451489,-3.3292251913136943,-1.6627839933706037,1.6664155996685455,2.5598274545179933e-05,1.667468302865286,2.700394972020615e-05
0.76,-9.726270900514612,-9.802835575963678,-9.726278017073659,0.07656467544906675,7.116559046949078e-06,-0.9915312399945325,-2.809243037837151,-0.9915026640723288,1.8177117978426187,2.857592220373295e-05,1.8193235912126424,2.9448747723163215e-05
